time,selection
96,-0.00000
97,-0.00000
98,-0.00000
99,-0.00000
100,-0.00000
101,-0.00000
102,0.00235
103,0.00235
104,0.00101
105,0.00101
106,0.00101
107,0.00101
108,0.00101
109,0.00101
110,0.00101
111,0.00101
112,0.00101
113,0.00101
114,0.00101
115,0.00101
116,0.00101
117,0.00101
118,0.00101
119,0.00037
120,0.00037
121,0.00037
122,0.00037
123,0.00037
124,0.00037
125,0.00037
126,0.00037
127,0.00037
128,0.00037
129,0.00037
130,0.00037
131,0.00037
132,0.00002
133,0.00002
134,0.00002
135,0.00002
136,0.00005
137,0.00005
138,0.00005
139,0.00004
140,0.00004
141,0.00004
142,0.00004
143,0.00004
144,0.00004
145,0.00004
146,0.00004
147,0.00005
148,0.00005
149,0.00005
150,0.00005
151,0.00005
152,0.00005
153,0.00005
154,0.00005
155,0.00005
156,0.00006
157,0.00006
158,0.00006
159,0.00006
160,0.00006
161,0.00006
162,0.00007
163,0.00007
164,0.00007
165,0.00007
166,0.00007
167,0.00007
168,0.00007
169,0.00008
170,0.00008
171,0.00008
172,0.00008
173,0.00312
174,0.00127
175,0.00127
176,0.00127
177,0.00127
178,0.00127
179,0.00127
180,0.00127
181,0.00004
182,0.00004
183,0.00004
184,0.00005
185,0.00005
186,0.00005
187,0.00005
188,0.00005
189,0.00189
190,0.00225
191,0.00225
192,0.00225
193,0.00225
194,0.00225
195,0.00220
196,0.00002
197,0.00002
198,0.00002
199,0.00002
200,0.00002
201,0.00002
202,-0.00000
203,-0.00000
204,-0.00000
205,-0.00000
206,-0.00000
207,-0.00000
208,-0.00000
209,0.00000
210,0.00000
211,0.00000
212,0.00000
213,0.00000
214,0.00000
215,-0.00000
216,-0.00000
217,-0.00000
218,-0.00000
219,-0.00000
220,-0.00000
221,-0.00000
222,-0.00000
223,-0.00001
224,-0.00001
225,-0.00001
226,-0.00001
227,-0.00001
228,-0.00001
229,0.00001
230,0.00001
231,0.00001
232,0.00001
233,0.00001
234,0.00001
235,0.00001
236,-0.00001
237,-0.00001
238,-0.00001
239,-0.00001
240,-0.00001
241,-0.00001
242,-0.00001
243,-0.00001
244,-0.00003
245,-0.00003
246,-0.00003
247,-0.00003
248,-0.00003
249,-0.00003
250,-0.00003
251,-0.00003
252,-0.00003
253,-0.00003
254,0.00071
255,0.00071
256,0.00071
257,0.00070
258,0.00070
259,0.00057
260,0.00057
261,0.00057
262,0.00057
263,0.00057
264,0.00056
265,0.00056
266,0.00056
267,0.00056
268,0.00056
269,0.00056
270,0.00056
271,0.00059
272,0.00059
273,0.00059
274,0.00059
275,0.00059
276,0.00059
277,0.00059
278,-0.00078
279,-0.00078
280,-0.00078
281,-0.00069
282,-0.00069
283,-0.00069
284,-0.00069
285,-0.00134
286,-0.00134
287,0.00095
288,0.00095
289,0.00095
290,0.00095
291,0.00095
292,-0.00124
293,0.00159
294,0.00159
295,0.00159
296,0.00159
297,0.00159
298,0.00159
299,0.00143
300,0.00137
301,0.00137
302,0.00137
303,0.00137
304,0.00137
305,0.00137
306,0.00120
307,-0.00042
308,-0.00042
309,-0.00042
310,-0.00042
311,-0.00042
312,-0.00042
313,0.00258
314,0.00244
315,0.00244
316,0.00232
317,-0.00043
318,-0.00043
319,-0.00043
320,0.00303
321,0.00303
322,-0.00022
323,-0.00022
324,0.00070
325,0.00070
326,0.00186
327,0.00175
328,0.00175
329,0.00172
330,0.00172
331,0.00171
332,0.00431
333,0.00431
334,0.00411
335,0.00412
336,0.00412
337,0.00412
338,0.00407
339,0.00407
340,0.00407
341,0.00694
342,0.00692
343,0.00699
344,0.00700
345,0.00698
346,0.00698
347,0.00698
348,0.00314
349,0.00314
350,0.00314
351,0.00314
352,0.00306
353,0.00306
354,0.00306
355,0.01336
356,0.00426
357,0.00465
358,0.00486
359,0.00486
360,0.00486
361,0.00486
362,0.00486
363,0.00611
364,0.00611
365,0.00899
366,0.00899
367,0.00899
368,0.00903
369,0.00871
370,0.00660
371,0.00721
372,0.00809
373,0.01150
374,0.01150
375,0.01150
376,0.01140
377,0.02617
378,0.00924
379,0.00793
380,0.01156
381,0.01156
382,0.01156
383,0.01639
384,0.01640
385,0.01640
386,0.01640
387,0.01086
388,0.01086
389,0.01086
390,0.01045
391,0.01045
392,0.01067
393,0.01067
394,0.01067
395,0.01067
396,0.01067
397,0.01067
398,0.01067
399,0.01044
400,0.01045
401,0.01045
402,0.01045
403,0.01045
404,0.01060
405,0.01060
406,0.01060
407,0.01060
408,0.01060
409,0.01060
410,0.01060
411,0.01011
412,0.01011
413,0.01011
414,0.00798
415,0.00797
416,0.00797
417,0.00797
418,0.00975
419,0.04075
420,0.04091
421,0.04125
422,0.04125
423,0.04125
424,0.04125
425,0.03929
426,0.03929
427,0.03929
428,0.03929
429,0.03929
430,0.03929
431,0.03929
432,0.04351
433,0.03926
434,0.03926
435,0.03926
436,0.03927
437,0.03927
438,0.03927
439,0.04041
440,0.04201
441,0.04201
442,0.03944
443,0.03769
444,0.03769
445,0.03769
446,0.03733
447,0.03729
448,0.03770
449,0.03822
450,0.03838
451,0.03831
452,0.03831
453,0.03820
454,0.03820
455,0.03820
456,0.03820
457,0.03824
458,0.03824
459,0.03824
460,0.03844
461,0.03844
462,0.03844
463,0.03844
464,0.03844
465,0.03844
466,0.03845
467,0.03836
468,0.03836
469,0.03836
470,0.03836
471,0.03836
472,0.03836
473,0.03836
474,0.03838
475,0.03838
476,0.03838
477,0.03838
478,0.03838
479,0.03838
480,0.03838
481,0.14303
482,0.14296
483,0.14422
484,0.14414
485,0.15585
486,0.15585
487,0.15585
488,0.19365
489,0.19365
490,0.19363
491,0.33448
492,0.33460
493,0.33460
494,0.33460
495,0.45081
496,0.45501
497,0.50567
498,0.50560
499,0.40189
500,0.40189
501,0.40189
502,0.38790
503,0.47000
504,0.47000
505,0.46929
506,0.57164
507,0.57164
508,0.57164
509,0.55924
510,0.55924
511,0.67130
512,0.67101
513,0.68269
514,0.68269
515,0.68270
516,0.68740
517,0.68770
518,0.68770
519,0.68729
520,0.71817
521,0.71817
522,0.71817
523,0.69222
524,0.74310
525,0.74738
526,0.72618
527,0.73212
528,0.73212
529,0.73212
530,0.72646
531,0.72650
532,0.70473
533,0.70473
534,0.39163
535,0.39163
536,0.39163
537,0.39190
538,0.09902
539,0.09902
540,0.10692
541,0.11280
542,0.11280
543,0.11280
544,0.14523
545,0.14510
546,0.14475
547,0.14487
548,0.14483
549,0.14483
550,0.14483
551,0.14483
552,0.14483
553,0.14483
554,0.14483
555,0.14483
556,0.14483
557,0.14483
558,0.14497
559,0.14497
560,0.14496
561,0.14496
562,0.14496
563,0.14496
564,0.14496
565,0.14476
566,0.14476
567,0.14476
568,0.14476
569,0.14476
570,0.14476
571,0.14476
572,0.14461
573,0.14461
574,0.14461
575,0.14461
576,0.14460
577,0.14460
578,0.14460
579,0.14454
580,0.14454
581,0.14454
582,0.14454
583,0.14454
584,0.14454
585,0.14454
586,0.16148
587,0.16148
588,0.16148
589,0.16147
590,0.16147
591,0.16147
592,0.16147
593,0.16235
594,0.16235
595,0.16235
596,0.16235
597,0.16235
598,0.16235
599,0.16235
600,0.16212
601,0.16212
602,0.16212
603,0.16213
604,0.16213
605,0.16213
606,0.16213
607,0.16169
608,0.16169
609,0.16169
610,0.16169
611,0.16169
612,0.16169
613,0.16169
614,0.16452
615,0.16452
616,0.16451
617,0.16451
618,0.16451
619,0.16449
620,0.16449
621,0.16448
622,0.16448
623,0.16448
624,0.16448
625,0.16448
626,0.16448
627,0.16448
628,0.16447
629,0.16447
630,0.16447
631,0.16447
632,0.16447
633,0.16447
634,0.16447
635,0.16447
636,0.16447
637,0.16447
638,0.16447
639,0.16447
640,0.16447
641,0.16447
642,0.16445
643,0.16445
644,0.16445
645,0.16445
646,0.16445
647,0.16445
648,0.16442
649,0.16437
650,0.16437
651,0.16437
652,0.16437
653,0.16437
654,0.16437
655,0.16437
656,0.16436
657,0.16436
658,0.16436
659,0.16436
660,0.16436
661,0.16436
662,0.16436
663,0.16454
664,0.16454
665,0.16454
666,0.16454
667,0.16454
668,0.16454
669,0.16454
670,0.16452
671,0.16452
672,0.16452
673,0.16452
674,0.16452
675,0.16452
676,0.16452
677,0.16452
678,0.16452
679,0.16452
680,0.16452
681,0.16452
682,0.16452
683,0.16452
684,0.16454
685,0.16454
686,0.16454
687,0.16454
688,0.16454
689,0.16454
690,0.16454
691,0.16454
692,0.16454
693,0.16454
694,0.16454
695,0.16454
696,0.16454
697,0.16454
698,0.16454
699,0.16454
700,0.16454
701,0.16454
702,0.16454
703,0.16454
704,0.16453
705,0.16453
706,0.16454
707,0.16454
708,0.16454
709,0.16454
710,0.16454
711,0.16438
712,0.16435
713,0.16435
714,0.16432
715,0.16432
716,0.16431
717,0.16431
718,0.16424
719,0.16425
720,0.16425
721,0.16425
722,0.16425
723,0.16425
724,0.16423
725,0.16423
726,0.16423
727,0.16423
728,0.16423
729,0.16423
730,0.16423
731,0.16423
732,0.16423
733,0.16423
734,0.16423
735,0.16423
736,0.16423
737,0.16423
738,0.16423
739,0.16423
740,0.16423
741,0.16423
742,0.16423
743,0.16423
744,0.16423
745,0.16423
746,0.16423
747,0.16422
748,0.16422
749,0.16422
750,0.16422
751,0.16422
752,0.16422
753,0.16422
754,0.16422
755,0.16422
756,0.16422
757,0.16422
758,0.12005
759,0.11995
760,0.11992
761,0.11991
762,0.11991
763,0.11990
764,0.11989
765,0.11991
766,0.11992
767,0.11992
768,0.11992
769,0.11992
770,0.12143
771,0.12143
772,0.12136
773,0.08383
774,0.08419
775,0.08418
776,0.08340
777,0.08403
778,0.08419
779,0.08402
780,0.08402
781,0.08402
782,0.08402
783,0.08406
784,0.08390
785,0.08368
786,0.08641
787,0.08641
788,0.08641
789,0.08603
790,0.08594
791,0.08597
792,0.08584
793,0.08584
794,0.08584
795,0.08584
796,0.08549
797,0.08549
798,0.08537
799,0.08528
800,0.08528
801,0.08528
802,0.08528
803,0.08519
804,0.08519
805,0.08519
806,0.08519
807,0.08522
808,0.08522
809,0.08522
810,0.08521
811,0.08521
812,0.08521
813,0.08521
814,0.08521
815,0.08521
816,0.08521
817,0.08522
818,0.08522
819,0.08522
820,0.08522
821,0.08524
822,0.08272
823,0.08272
824,0.08272
825,0.08272
826,0.08260
827,0.08260
828,0.08261
829,0.08261
830,0.08261
831,0.08267
832,0.08267
833,0.08267
834,0.08267
835,0.08267
836,0.08267
837,0.08267
838,0.08267
839,0.08267
840,0.08267
841,0.08267
842,0.08267
843,0.08267
844,0.08267
845,0.08267
846,0.08267
847,0.08267
848,0.08267
849,0.08267
850,0.08267
851,0.08267
852,0.08267
853,0.08267
854,0.08267
855,0.08268
856,0.08268
857,0.03789
858,0.03789
859,0.03787
860,0.03759
861,0.03760
862,0.03713
863,0.03712
864,0.03712
865,-0.09639
866,-0.09593
867,-0.09591
868,-0.09592
869,-0.09637
870,-0.09634
871,0.03394
872,0.03394
873,0.14262
874,0.14262
875,0.14258
876,-0.00036
877,-0.00036
878,-0.00036
879,-0.00036
880,-0.00026
881,-0.00025
882,0.00108
883,0.00098
884,0.00128
885,0.00128
886,0.00128
